video_id,title,channel,upload_date,description,views,likes,comments
J0HZu59zun4,GOVINAL - Naya Naya (OLD BIKUTSI By DJBOCANDE LE CAMER),DJBOCANDE,2014-08-07T08:51:18Z,GOVINAL NDZINGA ESSOMBA - Naya Naya. Le bon Bikutsi de chez nous le cameroun,351312,1748,94
Wlfug7lsDqw,Amapiano Concours de danser VS Cameroun 🇨🇲 Côte d'Ivoire 🇨🇮 Guinée 🇬🇳 Mali 🇲🇱,FOLO ONE Tik Tok,2023-10-04T23:33:38Z,#abidjan #conakry #cameroun #bamako #foryou #tiktok #dance #vs,24062,98,21
A8DBXDDp6gA,"🔥 Best of Coupé Décalé & Ndombolo 2025 | Fally Ipupa, Kedjevara, Libianca, DJ Arafat, Serge Beynaud",DJ HarmonyRythms,2025-10-24T10:00:06Z,"🔥 DJ HarmonyRythms – Coupé Décalé × Ndombolo MIX 2025 🔥
Get ready for the ultimate African party! This mix blends Coupé Décalé and Ndombolo hits from Africa’s top stars — a non-stop ride through infectious rhythms, electrifying beats, and pure dance energy.

💃🏾 Perfect for:
Clubs • Parties • Workouts • Street vibes • Afro dance challenges

00:00:00  1  - La Vie est Belle
00:02:44  2  - Joie et Victoire
00:05:27  3  - Ça Me Fait Danser
00:08:02  4  - Liberté de la Nuit
00:10:08  5  - Racines en Mouvement” (Roots in Motion) V1
00:12:03  6  - Amour Digital” (Digital Love)
00:14:46  7  - J’ai Froid Sans Toi - I Am Cold Without You Remix
00:17:13  8  - Je Danse Sans Toi - I Dance Without You v2
00:19:33  9  - “Vibe de la Ville” (City Vibe)
00:21:54 10  - Ton amour me fait danser
00:24:25 11  - J’ai Froid Sans Toi - I Am Cold Without You
00:26:23 12  - La Vie est Belle remix
00:29:10 13  - Je Danse Mes Racines
00:32:03 14  - Joy and Victory


🎧 Featuring top Coupé Décalé & Ndombolo artists:
DJ Arafat | Serge Beynaud | Debordo Leekunfa | Ariel Sheney | Kedjevara | Safarel Obiang | Bebi Philip | Kerozen | Molaré | Douk Saga | Ferre Gola | Fally Ipupa | Koffi Olomidé | Awilo Longomba | Innoss’B | Fabregas | Heritier Watanabe | Werrason | Extra Musica | Zaïko Langa Langa

🇨🇲 Top Cameroonian artists (2025 edition):
Libianca | Stanley Enow | Kocee | Locko | Salatiel | Mr Léo | Daphne | Magasco | Tenor | Kameni | Tayc | Maahlox Le Vibeur | Ridimz | Ko-C | Blanche Bailly | Vernyuy Tina | Awu | Rinyu | Gomez | Mihney

💃🏾 Perfect for:
#Parties | #Workouts | Dance Challenges | Afro Events | Good Vibes Only

🔥 If you love:
Coupé Décalé • Ndombolo • Afrobeat • Congolese Rumba • Cameroonian Afropop — this mix is for you!

👉🏾 Show love:

Hit LIKE ❤️

Drop your favorite artist name in the comments

SUBSCRIBE for more African dance vibes every week from DJ HarmonyRythms

#DJHarmonyRythms #CoupéDécalé #Ndombolo #FallyIpupa #DJARAFAT #Kedjevara #SergeBeynaud #Libianca #StanleyEnow #CameroonMusic #AfricanMusic #AfroMix2025 #AfroDance #FallyIpupaMix #CoupéDécaléMix #NdomboloMix #AfricanVibes

DJ HarmonyRythms, Coupé Décalé mix, Ndombolo mix, African mix 2025, Fally Ipupa mix, DJ Arafat mix, Kedjevara mix, Serge Beynaud mix, Libianca songs, Cameroon Afro mix, Afrobeat 2025, Ndombolo 2025, Coupé Décalé 2025, African dance 2025, Best African mix, Fally Ipupa 2025, DJ mix Africa, Congolese music mix, Cameroonian music mix, Afro dance mix 2025",11142,103,5
hwAqwfKHVVU,Locko - Locked Up Épisode 4  ( Manulove ),LOCKO,2020-05-10T17:00:14Z,"Découvrez l'avant-dernier épisode de LOCKED UP ! Dans ce 4e voyage , LOCKO rend un hommage spécial à la Légence MANU DIBANGO 

LOCKED UP est concept qui nous permettra en cette période de confinement d'aller en voyage avec la LOCKOmotive chaque dimanche  pour découvrir des sonorités exclusives.

Réalisation : Chuzih

Production : Shaba Muzik , Locko

Ecoutez #LockedUp ici : https://LockoLockedUp.lnk.to/XTZmf1uE

Rédecouvrez les épisodes de la série #LockedUp ici : https://www.youtube.com/playlist?list=PLVmZmiG_AKTSStPhz77PShc8OI_7TtsQ1

Écoutez Mêmes mêmes choses ici : https://LockoMemesmemeschoses.lnk.to/0xHlQqgg

Booking international : Guylaine.Clery@umusic.com 

Retrouve moi sur mes différents réseaux sociaux

Facebook: https://web.facebook.com/lockofficial/
Instagram: https://www.instagram.com/lockofficial/
Twitter: https://twitter.com/lockofficial
Snapchat : @lockofficiel

© 2020 @Universal Music Africa",86386,3649,242
MiyXRWTvhgM,Ben Decca- Ebele Obosso,Didier N.,2009-04-14T04:52:02Z,Ancien grand succes. chanson qui montre l'immense richesse qu'avait le cameroun autrefois,623700,2139,196
d4bsp1rUHTw,le verdict du peuple,Cameroun-Debout237,2025-09-19T08:00:56Z,"« Le Verdict du Peuple » : un Afro-Drill engagé, basse lourde, flow incisif, chœurs scandés. Na-Lui devient faiseur de rois, la jeunesse crie son verdict. Le son qui électrise le Kamer !

#NaLui, #LeVerdictDuPeuple, #Kamto, #FaiseurDeRois, #AfroDrill, #MusiqueCamerounaise, #ElectionCameroun, #Presidence2025, #Changement, #YouthPower, #CamerounDebout, #MusiqueEngagée, #CampagneElectorale, #Kamer #maurice kamto

L’information stratégique pour un peuple éveillé.
Une population informée, critique et consciente de son environnement peut mieux défendre ses intérêts, participer activement à la vie démocratique, et anticiper les défis futurs.
💖 Support My Channel:
Love my content? Buy me a coffee to help me create more videos!
→ ko-fi.com/cameroundebout237
(Thank you! Every tip fuels my creativity ☕)",3247,0,3
fC6YV65JJ6g,GIMS - La Même ft. Vianney (Clip Officiel),GIMS,2018-04-20T16:07:25Z,"GIMS - La Même ft. Vianney (Clip Officiel)
Découvre la lyrics vidéo officielle du titre : https://youtu.be/DaEBHxm2g5w
Abonne-toi à la chaîne ➡ http://bit.ly/2q6P6Ni
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
DÉCENNIE ???? 
La réédition événement disponible partout ➡
https://GIMS.lnk.to/albumdecennieID

Nouvel album LE FLEAU disponible en précommande ➡ https://Gims.lnk.to/PcLeFleauID
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Facebook ➡ https://www.facebook.com/maitregimsoff
Instagram ➡ https://instagram.com/maitregims
Twitter ➡ https://twitter.com/maitregims
Snapchat ➡ Warano75
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -",217004385,912323,30298
l6iud46ytxk,"Les Femmes d'Ici du 16 avril 2026 I ""Charlotte Dipanda, une véritable machine à succès.""",La Nouvelle Chaîne Ivoirienne,2026-04-16T15:58:43Z,"Bienvenue sur la chaîne officielle YouTube de NCI, la Nouvelle Chaîne Ivoirienne.  Retrouvez ici en Replay tous les programmes de la NCI .
https://www.nci.ci
https://www.facebook.com/nouvellechai...

NCI est une chaîne TV généraliste qui propose des programmes majoritairement produits en Côte d’Ivoire et traite tous les sujets de façon moderne .

📺 NCI est désormais disponible sur le Bouquet Africain d'Orange France : n°599 

#çasepasseici #NCI
👉🏾 TNT n°4 | Canal+ n°204 | Startimes n°778 | TV d'Orange | www.nci.ci | Facebook Live
👉🏾 Europe : Free n°447 | Sfr n°849 | Orange n°599 | Molotov",92765,2489,249
2Y6NpGd1fUQ,Tenor-Réponse a ENJR ( Official VIDEO ),Douala Freestyle Officiel,2025-01-12T04:00:03Z,Tenor-la Réponse a ENJR,40291,947,39
RAIK_K3ZtWU,CYSOUL -  CHARLENE (Clip Officiel) Directed by CHUZiH,CYSOUL Officiel,2021-01-29T17:00:14Z,"Après la récente annonce de sa signature chez Universal Music Africa, le jeune chanteur de Pop Ethnique Cysoul vous livre le clip de la chanson ""Charlène"" extrait de son dernier projet ""ILLUSIONS"".
Decouvrez ""ILLUSION"" et laissez-vous transporter par une voix suave et envoutante dans un univers unique : https://bit.ly/39ufl6R

Facebook : https://bit.ly/2MC4X4d 
Instagram : https://bit.ly/2MwHam6 
Twitter       : https://bit.ly/3ajj0nv
Triller         : @CysoulOfficiel",5426561,48832,2638
TY2aYofSIms,trophée DUC-Z mboa hiphop awards 2010,Duc-Z,2010-12-02T09:46:23Z,DUC-Z elu ARTISTE RnB DE L'ANNEE 2010 en live and direct au cameroun a DOUALA-BERCY merci a tous ceux qui me soutiennent a travers le monde.cette victoire est pour vous! extrait....,1197,2,0
HDOGez2nfJ0,Mr. Leo ft Salatiel -  C'est la vie [Official video],Mr Leo ,2018-08-19T14:37:28Z,"'C'est la vie' performed by Mr. Leo ft Salatiel.

Composed by Mr. Leo and Salatiel

Directed by DR. Nkeng Stephens of CPE

 Produced by IVO.

. Twitter x Instagram: @MrLeo237 Facebook: fb.com/MrLeo -

 Management Email: mrleotheartist2@gmail.com 

Alpha Better Records 2018 

#MrLeo #Salatiel #Cestlavie #CameroonMusic #JamaisJamais #JSuisDésolé #LoveOriginal #Femme",1171216,9303,607
C15XgAHvNtQ,Mr. Leo Ft. Fanicko - Je Suis Moi Comme Ça [Official Video],Mr Leo ,2017-11-17T14:54:05Z,"Purchase ""Love Original"" by Mr Leo here: http://smarturl.it/MrLeoLoveOriginal 

""Je Suis Moi Comme Ça"" Official Video performed by Mr. Leo and Fanicko.

Composed by Mr Leo and Fanicko
Produced by Akwandor.

Video directed by Misterlight CamOff.

Twitter x Instagram: @MrLeo237
Facebook: fb.com/MrLeo - Artist
Management Email: mrleotheartist2@gmail.com
Business Contact & Serious Inquiries: +237 677957471 / +237 6 98056985

Alpha Better Records 
2017

SUBSCRIBE: 
https://www.youtube.com/channel/UCGF17r6aD_v9e_z6Spo57wA?sub_confirmation=1
#MrLeo #CameroonMusic #JamaisJamais #JSuisDésolé #LoveOriginal #Femme #JeSuisMoiCommeÇa #Pray #Partout #CestFaux #JeTaime",2319400,17599,762
544GcraGHqg,"FAM : CAMEROON , CONGO           #ndombolo #shorts  #dancers #afrodance #afrobeat #bugachallenge",MV_AfroVisions,2022-06-30T18:08:04Z,,9165,326,2
68xXhkQkGWE,Stanley Enow - Parapariparo ( Street Clip ),Stanley Enow,2022-07-20T09:15:11Z,"Shot in Melrose, Parapariparo is low the Summer Anthem you don't want Miss on your playlist",38860,2324,220
QgMp5Qj1heY,PETIT PAYS & LES SANS VISA _ BEKWADI,PETIT PAYS ,2025-08-13T15:12:07Z,"Découvrez ""Bekwadi"" — Extrait de l’album Esuwa (1999) de Petit Pays
Un titre puissant signé Petit Pays et Les Sans-Visas, sorti il y a plus de deux décennies, qui nous transporte dans l’univers vibrant du Makossa Love.
Avec sa voix unique et ses mélodies empreintes d’émotion, ce morceau demeure un véritable classique de la musique camerounaise.

Album : Esuwa (1999)
Artiste : Petit Pays (avec Les Sans-Visas)

#PetitPays #Bekwadi #Esuwa",162867,689,59
H75HtdhL3XA,PETIT PAYS - BAKARI (ÉYAMOYO),BILLARD GUY,2015-08-02T00:24:13Z,"Album : Les morts ne sont pas morts  1992
Bakari est venu à Douala é il est venu vendre les boeufs et les vaches!",311679,1425,135
1_nN2nPk2YQ,Magasco - Crème De La Crème (Official Video),MAGASCO ,2019-12-06T18:49:55Z,"""Crème De La Crème""  is the third single from 'Heart', the 1st solo studio album by Magasco under BBoy Records. Video directed by Dr Nkeng Stephens.

Crème De La Crème
► Purchase ""Heart"" via Orange Money, MTN Money, PayPal here
http://bboyrecordscmr.com/album.html

 BBOY TEAM: 
- Lyrics, Vocals & Recording: Magasco 
- Music Production: Magasco & Master Roboster 
- Mix & Master: Sangtum 
- Cover Art Designs: Laikom Studios 

© 2019 BBoy Records 
►Subscribe to this channel: https://www.youtube.com/BboyRecords 
►Instagram - https://instagram.com/magasco_bboy 
►Twitter - https://twitter.com/magascobboy
►Facebook: https://www.facebook.com/BamendaBoyy 
►SnapChat: magasco 
►Business/Bookings: bboyrecords237@gmail.com 
► Streaming platforms: https://backl.ink/60772123





#music #love #magasco #Cameroon #africa #affection #dancehall #mix #lifestyle #hiphop #rnb #bamenda #money #cash #sexy #sexygirl #cameroon2023  #clips  #today #2023 #music #facebook #tiktok #youtubeshorts #Magasco #youtube #automobile #videos #live #dance #new #news #newmusic #newsong #tiktok #trending",566173,7528,655
c13uQ9pdQBA,(Mola Mongombe) JONGELE official VIDEO.,Mola Mongombe ,2025-06-19T15:34:02Z,"JONGELE The hit song 🎵 by Mola Mongombe presents a high definition, High Tech, Animated video clip to his Fans and lovers of folklore music, we dedicate this video to all lovers and supporters of Cameroon Cultural and world Music. Enjoy and share massively. Your feedback is always appreciated. 

Mola Steane Nyoki 
SNPOMO USA 🇺🇸 
For Njoku jazz production.",324333,1305,93
z1XVPkico_U,MEILLEUR MAKOSSA ANCIEN | BEST CAMEROUN ANCIEN MAAKOSSA | NDEDI EYANGO | MANULO | EMILE KANGE,DJ Proff Proff Mix,2025-03-19T16:00:06Z,"MEILLEUR MAKOSSA ANCIEN | BEST CAMEROUN ANCIEN MAAKOSSA | NDEDI EYANGO | MANULO | EMILE KANGE 
#makossa #cameroon #cameroun #ancienmakossa",327252,1756,143
Mf4LLZ1JLCI,DUC-Z ft SINGUILA et PIT BACCARDI je ne donne pas le lait remixclip officiel by NS PICTURES 2013),Duc-Z,2013-05-23T16:32:15Z,"la nouvelle signature du label EMPIRE COMPANY ""DUC-Z"" fais son come back dans l'arene.....le REMIX du CLASSIK ""JE NE DONNE PAS LE LAIT"" remixé par lui meme et 2monstres sacrés du game...SINGUILA et PIT BACCARDI.Une nouvelle tuerie signe ""THE KING OF R&B KAMER"" .l'histoire s'ecris avec vous la famille...ENJOYEZ.....YEEEEESSSSS AMUZ TOI",100514,820,90
oPpXiMMEhfc,Cameroon Mboko drill-tape (clean/radio edit),Mboko Music Channel - MMC,2022-06-07T00:01:24Z,"The most highly anticipated Mboko mixtape of 2022
Mboko Drilltape
Cameroonian Drill mix.
Clean and radio edited for your listening pleasure.

PLAYLIST
1.Stanley Enow - Nyongo 
2.Kitz-Mboko Drill EP1 Ft Uncle London(clean)
3.Drogz - PAY Ft Mic Monsta, NB Max 
4.Kitz-Mboko Drill EP2 Ft Peace T(clean)
5.FREEBOI LAMA -_TRY Freestyle
6.Kitz-Mboko Drill EP3 ft Outlaw-Kranzy(clean)
7.OT Zenab - Palace
8.Kitz-Mboko Drill Ep4 ft Cookie
9.Samba G 237 Nanga mboko 
10.Kitz-Mboko Drill Ep5 ft Flow Khid(clean)",1335,22,3
aHJi0WHyN7U,ICI C'EST LE CAMEROUN,KC Tv Dubaï,2018-10-30T20:47:57Z,"A la base un beat d'une chanson de l'américain Childish Gambino ceci est un projet version camerounaise illustrateur des réalités de notre merveilleux pays le Cameroun. A travers une satire via l'ironie,Je viens montrer le visage de notre société que certains traduiront de tumultueuse mais malgré tout nous aimons énormément car pays de paix ainsi je prône la paix et l'unité car c'est tout ce que nous avons de plus cher.",120117,3446,203
o0P_iXtzMvQ,drill dance challenge Cameroon we is to start the game #toosieslide,Ibrahim Hassan,2025-06-19T06:35:56Z,,43,3,0
-KRe61NpaTA,GIMS - Tout donner (Clip officiel),MaitreGimsVEVO,2016-11-11T17:00:00Z,"Evénement : le clip ""Tout donner"" disponible en 4k pour la première fois !
Vérifie les paramètres de ton player !
Réalisation : Styck & Screetch (Daylight production)

Titre disponible en téléchargement : http://smarturl.it/Gims_ToutDonner_DL
Et en streaming : http://smarturl.it/Gims_ToutDonner_ST

Extrait d'""A contrecoeur"", la réédition de ""Mon coeur avait raison"" disponible : http://smarturl.it/MG_Contrecoeur_Pr
-----
Abonne-toi dès maintenant à la CHAINE OFFICIELLE de MAITRE GIMS https://www.youtube.com/user/MaitreGimsVEVO
-----
Retrouve Maître Gims sur :
Facebook https://www.facebook.com/maitregimsoff
Twitter https://twitter.com/maitregims
Instagram https://instagram.com/maitregims",174852126,696805,24362
ykUgbA8p780,Cameroon 🇨🇲 dance sturdy vibes,Young G🥷,2025-03-22T19:50:04Z,,117,5,0
lBZ7Wb2KB5k,ESSANI NOUVEAUTÉ BIKUTSI CHORÉGRAPHE ABANDA MAN EKANG ( CLIP VIDÉO OFFICIEL ),Andre Miwanack,2021-05-27T22:44:09Z,RAGE DE ZVILLE DÉMO ESSANI BALAFON,116933,1265,60
2Ya8fkLKn_s,CAMEROON RAP 2024 MP3 MIX | RAP CAMEROUNAIS | PIDGIN RAP | JOVI 2035 | MBOKO RAP HITS | 237 RAP |,tunecamp dj,2024-02-10T09:30:15Z,"Top Cameroon Rap Songs Mix 2023/2024  | Part 1 | Jovi | Mic Monsta | Cleo Grae | Torch City | AJ Bahboy | Gheto Zamarley | Ngoma | Tenor | Askia | Sir Winz | Freeboi Lamma| MIhney | Mix BY TUNECAMP DJ

BEST CAMEROON MUSIC 2024 | CAMEROON MIX 2024 | 237 RAP  HITS | DA

PLAYLIST👉👉
https://open.spotify.com/playlist/3NF7DNZMNcP803Y34fBTyw?si=26df8f52d3ef4380 

Follow us on instagram : https://www.instagram.com/tunecampp/

Disclaimer!!

All Featured Content Is Monetized By The Respective Copyright Owners & Record Labels. All Mixes/Mixtapes are only for Promotional/Entertainment Use Only. By no means do I own any material used in the above video footage, I produce these content under ''Fair Use'' and for entertainment purposes only.

Follow Tune Camp for more Updates on New Mixes:
✅Facebook: https://www.facebook.com/tunecampp/
✅Instagram: https://www.instagram.com/tunecamp/
✅Twitter: tunecamp
➖➖➖
Thank you for watching. This video is not monetizable (No revenue). 
You can support the channel by sending tips here: 
Buy me a coffee: 
Paypal: 
Cashapp:",9160,82,5
K30wJuYNNN8,Mr. Leo x Salatiel x Askia x Blaise B - Higher-Higher [Official Video],Salatiel,2017-12-01T21:05:06Z,"Stream and Download ""Higher-Higher""

-Apple Music
http://bit.ly/HigherHigherAppleMusic

-Tidal
http://bit.ly/HigherHigherTidal

-Spotify
http://bit.ly/HigherHigherSpotify

-Amazon
http://bit.ly/HigherHigherAmazon

""Higher-Higher"" Official Video performed by Mr Leo, Salatiel, Askia, Blaise B

Composed by Salatiel, Mr Leo, Askia, Blaise B
Produced by Salatiel x Akwandor x Big Joe, Mixed by Salatiel.

Video directed by Nkeng Stephens of CPE.

Twitter x Instagram: @Alpha_BetterR
Facebook: fb.com/AlphaBetterRecords
Management Email: alphabetterrecords@gmail.com
Business Contact & Serious Inquiries: +237 6 77668287 / +237 6 969752408

Alpha Better Records 
2017

Note: Unauthorized re-uploading of this video on any other channel shall lead to legal measures and shutdown of the channel.",2062433,15080,1318
ZAWPuBJ4TgY,CAMEROON PRAISE AND WORSHIP SONGS | Cameroun gospel music | Cameroon Gospel Songs | #gospelmusic,DJ Proff Proff Mix,2025-07-30T14:00:06Z,"CAMEROON PRAISE AND WORSHIP SONGS | Cameroun gospel music | Cameroon Gospel Songs | #gospelmusic #gospelsongs #cameroun #cameroon #music #2025 

A BIG SHOUT OUT TO ALL THE ARTISTS ON THIS PLAYLIST. Please do me a favour and subscribe to their channels. Thank you. ❤❤❤❤❤❤❤❤❤❤❤❤🎉
PLAYLIST
00:00   Minister Etta – Afro Makossa Praise Medley Part 1
04:47   Vumomse – Glory
08:03   Prosper Menko – Holy ghost party
11:54   Tanatswa Madhoyo – Yaweh
15:41   Minister Etta – Afro Makossa Praise Medley Part 2
19:16   Chris Voice – Jesus na water were nor di dry
24:41   Prosper Menko ft Protek – Belle Weh
28:35   John Sama – You know my name
32:29   Anita Etta ft Vumomse – E don settle am
37:34   Minister Etta – Rest assured
40:12   Prosper Menko – Toquer
43:34   Minister Etta – Kem Awoh
47:27   Prosper Menko – Winner
51:54   Minister Etta – Deep cries out
55:49   Prosper Menko – Wonderful Jesus
01:02:01   Joy Forze ft Pandita Njoh – Beautiful 
01:07:16   Joy Forze – Again and again",4453,59,18
rzSodjcHYUs,Mr Leo - Partout (Live at IFC Yaoundé 12 May 2022),Mr Leo ,2022-07-14T06:26:06Z,"Mr Leo Performs at Institut Français Yaounde on 12 May 2022, as part of the Mr Leo National Live Tour 2022

Band
Fonyuy Nsobunrika Leonard (Lead Singer)
Banye Aline Verla (Dancer/Backup Singer)
Lekunze Dora Elizabeth Magwidem (Backup Singer)
Tahjoue Nganso Michel Igor (Bass)
Emmanuel Kudi Ihimbru (Drums)
Simplice Kenge (Electric Guitar)
Akunchu Enock Mbidzinyuy (Keyboards)
Bimai Daniel Pierre Chrisologu (Percusions)

Team
Othniel Mombel (Artistic Director)
Bantou Queen (PR)
Tony Mefe / Escale Bantoo (Tour Manager)
Verkijika Divine Nyuyki (Manager)
Vox Africa (Video/Sound Coverage)

(c) 2022 Lionn Productions LTD",1542,33,5
